Professor ID,1A,1B,2A,2B,3,4A,4B
5322089,---,---,---,---,eng9h (Sec 1),eng9h (Sec 1),---
5361380,matalg2 (Sec 1),matalg2 (Sec 1),matalg2 (Sec 1),matalg2 (Sec 1),---,matalg2 (Sec 1),matalg2 (Sec 1)
5361400,bib10 (Sec 1),bib9 (Sec 2),bib10 (Sec 2),bib10 (Sec 1),bib10 (Sec 1),---,bib10 (Sec 1)
5361409,---,scierth (Sec 1),scibio (Sec 1),---,scierth (Sec 1),scierth (Sec 1),scibio (Sec 1)
5361411,pehs (Sec 2),---,pehs (Sec 1),pehs (Sec 1),pehealthhs (Sec 3),---,---
5361412,mathalgiii (Sec 1),---,mathalgiii (Sec 1),---,---,matapcalcab (Sec 1),matapcalcab (Sec 1)
5361417,bib11 (Sec 1),bib11 (Sec 1),---,bib11 (Sec 2),bib11 (Sec 1),bib11 (Sec 1),bib11 (Sec 2)
5361420,matalg2 (Sec 2),matalg2 (Sec 2),matalg2 (Sec 2),matalg2 (Sec 2),matalg2 (Sec 2),matalg2 (Sec 2),matalg2 (Sec 2)
5361422,---,---,dewciv1 (Sec 1),dewciv1 (Sec 1),---,---,---
5361454,bib12 (Sec 1),bib12 (Sec 1),bib12 (Sec 2),bib12 (Sec 2),bib12 (Sec 2),bib9 (Sec 1),bib9 (Sec 1)
5361457,---,---,---,desocip (Sec 1),---,---,desocip (Sec 1)
5361461,finlit (Sec 2),soc11 (Sec 1),finlit (Sec 2),soc11 (Sec 1),finlit (Sec 2),finlit (Sec 1),---
5361474,---,---,deeng151 (Sec 1),---,---,deeng151 (Sec 1),eng10h (Sec 1)
5361492,soc9 (Sec 2),soc9 (Sec 2),soc9 (Sec 1),soc9 (Sec 1),soc9 (Sec 1),---,---
5361498,---,scichem10h (Sec 2),scichem10h (Sec 2),---,---,scichem10h (Sec 1),scichem10h (Sec 2)
5361516,---,techdigit (Sec 1),techgraphic (Sec 1),---,techgraphic (Sec 1),techdigit (Sec 1),---
5361526,---,---,---,sciphy (Sec 1),scimabio (Sec 1),scimabio (Sec 1),sciphy (Sec 1)
5361540,lansp1 (Sec 1),lansp2 (Sec 1),lansp2 (Sec 2),lansp2 (Sec 1),---,lansp2 (Sec 1),lansp1 (Sec 1)
5407259,matgeom (Sec 2),---,---,matgeom (Sec 2),matgeomh (Sec 1),---,matalg2h (Sec 1)
